"second","first","ccf","rough_cor","lag","D","sd_D","b1","b2","signature_length","overlap","matches","mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sum_peaks","H.H","D2.D","comparison","id.x","id.y","KM","rfscore","order","type"
"Unknown 1-Q/L2.dat","Gun 1-L5/B3/L6.dat",0.282022290307224,0.0865890772479479,0.155444999999996,0.000805375309989201,0.00135246972923962,"Unknown 1-Q/L2.dat","Gun 1-L5/B3/L6.dat",1.9608,0.922368421052632,6.63503964436187,15.5604594579302,2.21167988145396,1.10583994072698,6.12987796827554,0,0,6.12987796827554,3.30070352137913,5.96044497508667,2.61174558555216,0.000805375309989201,"Gun 1-L5/B3/L6.dat|Unknown 1-Q/L2.dat",36,NA,FALSE,0.113333333333333,49.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-R3/B1/L1.dat",0.192468385669184,-0.310517752404557,-0.121904999999975,0.00135387281991855,0.00186560160307335,"Gun 1-R3/B1/L1.dat","Unknown 1-Q/L2.dat",1.91049,0.933490884537475,4.48575073243899,16.2896101033913,3.36431304932924,1.68215652466462,7.18659269267263,0,0,5.2701679746266,7.18659269267263,4.69675088041854,4.02717401986682,0.00135387281991855,"Gun 1-R3/B1/L1.dat|Unknown 1-Q/L2.dat",37,NA,FALSE,0.0833333333333333,70,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-R3/B1/L5.dat",0.268007346048412,0.110697370361888,0.165119999999995,0.000730122180040223,0.00117690912588522,"Gun 1-R3/B1/L5.dat","Unknown 1-Q/L2.dat",1.938225,0.923793677204659,3.35098183767844,17.5533479453095,1.11699394589281,0.558496972946407,5.69297771199227,0,0,2.37207404666345,2.84648885599614,1.54935388153399,2.25124229606475,0.000730122180040223,"Gun 1-R3/B1/L5.dat|Unknown 1-Q/L2.dat",41,NA,FALSE,0.273333333333333,22.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B1/L3.dat",0.220654536641588,-0.00914324705382242,0.36313499999999,0.000946646907115673,0.00160755570726969,"Gun 1-U10/B1/L3.dat","Unknown 1-Q/L2.dat",1.735695,0.920475659606094,5.00730753944037,17.1208446283351,1.87774032729014,0.625913442430046,6.18252722689878,0,0,6.18252722689878,4.75579017453752,4.61876578663818,2.83308229031703,0.000946646907115673,"Gun 1-U10/B1/L3.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.05,106,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-M2/B2/L3.dat",0.247567758858604,-0.00136661149021891,0.0141899999999996,0.000719991244061205,0.00117366309947108,"Gun 1-M2/B2/L3.dat","Unknown 1-Q/L2.dat",1.95306,0.995706737120211,2.57112370961729,15.2397208083148,1.02844948384692,0.514224741923458,5.07990693610493,0,0,4.06392554888395,5.07990693610493,1.94792851841043,1.99965626938662,0.000719991244061205,"Gun 1-M2/B2/L3.dat|Unknown 1-Q/L2.dat",9,NA,FALSE,0.303333333333333,21,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-R3/B2/L4.dat",0.183650147363782,0.0824602315949208,0.124484999999996,0.000918674991702387,0.00166943134901393,"Gun 1-R3/B2/L4.dat","Unknown 1-Q/L2.dat",1.88985,0.966552901023891,5.47453247492664,13.2932566263192,2.73726623746332,1.09490649498533,3.93874270409458,0,0,3.93874270409458,1.96937135204729,4.50116386063146,2.85785379699429,0.000918674991702387,"Gun 1-R3/B2/L4.dat|Unknown 1-Q/L2.dat",40,NA,FALSE,0.0333333333333333,120,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B2/L5.dat",0.291740626470882,0.0275486343551271,0.176729999999995,0.00105862971116091,0.00175063630489008,"Gun 1-U10/B2/L5.dat","Unknown 1-Q/L2.dat",1.905975,0.935702199661591,2.80359420777437,16.7480141640349,1.12143768310975,0.560718841554873,5.26366159441096,0,0,3.82811752320797,5.26366159441096,4.52383556285614,3.11945341535285,0.00105862971116091,"Gun 1-U10/B2/L5.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.04,114.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-R3/B1/L4.dat",0.149719817242093,0.0409117776316673,-0.121904999999997,0.00114466956342156,0.00162231347839259,"Gun 1-R3/B1/L4.dat","Unknown 1-Q/L2.dat",1.929195,0.934135740554998,2.77449462580391,16.7687162829026,1.10979785032156,0.554898925160782,6.70748651316106,0,0,3.35374325658053,5.74927415413805,2.88188297178283,3.27117417886182,0.00114466956342156,"Gun 1-R3/B1/L4.dat|Unknown 1-Q/L2.dat",40,NA,FALSE,0.0333333333333333,120,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-M2/B3/L5.dat",0.23171571685364,0.066121857420557,-0.154154999999996,0.00094760696008483,0.00144766398348816,"Gun 1-M2/B3/L5.dat","Unknown 1-Q/L2.dat",1.84857,0.913817166782973,4.14383855604986,16.9853784200768,1.1839538731571,0.591976936578551,6.1336088739166,0,0,2.35908033612177,6.1336088739166,5.04564149603374,2.73977581123366,0.00094760696008483,"Gun 1-M2/B3/L5.dat|Unknown 1-Q/L2.dat",9,NA,FALSE,0.0766666666666667,77,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B1/L4.dat",0.192608016384788,0.0219568424177432,-0.160604999999988,0.00122920003428358,0.00174071745644497,"Gun 1-U10/B1/L4.dat","Unknown 1-Q/L2.dat",1.899525,0.912733446519525,0.576781100036914,18.815383457515,0.576781100036914,0,13.6411530066983,0,0,5.17423045081661,13.6411530066983,0.329979531139526,3.46147866120359,0.00122920003428358,"Gun 1-U10/B1/L4.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.0133333333333333,142,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B2/L4.dat",0.216808060479657,0.0215979921115012,-0.136739999999996,0.000854773729808171,0.00131769016743717,"Gun 1-U10/B2/L4.dat","Unknown 1-Q/L2.dat",1.91436,0.925876010781671,2.25675050494793,18.5532728686928,0.564187626236981,0.564187626236981,7.61159912561756,0,0,1.42717483605329,4.28152450815988,2.71540006949657,2.51158597167997,0.000854773729808171,"Gun 1-U10/B2/L4.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.0533333333333333,100.5,"KNM"
"Unknown 1-Q/L2.dat","Gun 1-U10/B3/L2.dat",0.209771638800965,0.148273307207233,0.190274999999995,0.000889794427668547,0.00137305521441978,"Gun 1-U10/B3/L2.dat","Unknown 1-Q/L2.dat",1.89501,0.931926480599047,2.26499283696015,18.1891721772679,1.69874462772011,1.13249641848008,7.65859881148122,0,0,5.74394910861091,7.65859881148122,2.50673876505422,2.64190006403541,0.000889794427668547,"Gun 1-U10/B3/L2.dat|Unknown 1-Q/L2.dat",NA,NA,FALSE,0.0166666666666667,136,"KNM"
